Comment,Count
proud to be a muslim,444
who is proud to be a muslim,353
proud to be muslim,293
who is proud to be muslim,184
lets vote for ignoring aroob for hours,148
who is proud to be part of ummat e muhammad saw,67
i am proud to be a muslim,47
beautiful vlogs,45
who is proud to be a part of ummat e muhammad saw,45
who is proud to be a part of ummate muhammad saw,44
lets vote for saying yes to aroob for hours,36
they r just spreading positive vibes and making us happy by putting so much efforts into our favourite videos i absolutely love them,36
i am proud to be muslim,34
who is proud of be the part of ummat e muhammad saw,32
im so glad i found this product its changed my lifeclick on link to avail offerhttpswinpricepkmobilesinfinixinfinixzerog,31
lets vote for saying yes to mother for hours,30
mashaallah,29
the day incomplete without your vlog and no matter what the duration of the vlog is it end really fast it the addictive,28
its very good to see pakistani culture too much similarities between our india and pakistan the media is opposite,27
vote for ignoring aroob for hours,26
vote for saying yes to aroob for hours,26
nice,25
fun fact everyone found this channel randomly but started watching her regularly,25
love you ducky bhai from india your biggest fan here,24
vote for giving respect to muneeb for hours,24
hats off to each n every one who comes within seconds to see the vlog as soon as she posts it,24
justice for muneeb,23
i respect everyone who were involved in this seriously the best piece that i ve ever seen on youtube hate off to well all love your videos,22
congratulations for m,22
lets vote for saying yes to father for hours,22
lets vote for saying yes to mama for hours,21
who proud to be a muslim,21
lets vote for giving respect to muneeb for hours,20
i cant believe how affordable this product is its a stealclick on link to avail offerhttpsyourgiftcommobilesinfinixinfinixzerog,20
proud to be a muslim alhamdulillah,20
im proud to be a muslim alhamdulillah,20
congratulations for million,19
who proud to be muslim,18
love you so much shazada veer love from jhelum punjab buzurgo,18
best hope allah best leadermuhammad saww best lyrics azaan best guide quran,18
love from india,18
im proud to be a muslim alhudulillah,18
i proud to be a muslim,17
eid mubarak to all muslims,17
love you so much shazada veer love from jhelum punjab,16
congratulations,15
proud to be a muslim proud to be the ummati of the holy prophet muhammad saw proud to be pakistanu,15
proud to be muslims,15
mashallah,15
lets vote for ignoring aroob for hour,14
click for funwwwpornhubcom,14
who feels proud to be ummat e muhammadi saww,14
lets vote for saying yes to mom for hours,13
vote for saying yes to muneeb for hours,13
who is proud to be a part of ummat e muhammadi saw,13
click on this linkhttpspagesdarazpkwowgcpdarazchannelpkthefashionstorethefashionstudiospmaaehomefeaturenavevkszcqpfilterbadgescmicmszebraother,13
lets we all appreciate the content this man and his crew makes just a masterpiece imagine whats hes gonna doing in the future,13
im proud to be a muslim,12
lets vote for ignoring aroob for hours challenge,12
who loves quran,12
respect button for ducky bhai,12
namaz is the permanent solution of all the problems,11
you just wonhttpspriceoyepkwirelessearbudssoundpeatssoundpeatsminiprohswirelessearbuds click on the link to win it,11
for sex fun clickcallgirlltd,11
proud to be muslim and pakistani,11
who is proud to be a part of ummatemuhammad saw,11
i love allah,11
i am proud to be a muslim i am proud to be the ummati of the holy prophet muhammad saww im proud to be a pakistani alhamdulillah,10
proud to be indian,10
who is proud to be a part of ummat muhammad saw,10
vote for saying yes to wife for hours,10
this man never fails to entertain us lets whos agree vote now,10
im proud to be muslim,10
thanks you for watching,10
who is proud to be muslims,10
namaz is the permanent solution of all the problems who agree with me,10
congratulations m,9
we proud to be muslim,9
best part,9
love your vlogs,9
who is proud to be a ummat e muhammad saw,9
proud to be a pakistani,9
who agree with me best leader hazrat muhammad saw best words azan best tour hajj best guide quran shreef best daughter bibi fatima best lyrics azan,9
we are proud to be a muslim,9
lets vote for saying yes to muneeb for hours,9
lets vote for ignoring aroob hours,9
saying yes to aroob for hours,9
this man never fails to entertain us,9
lets vote for ignoring aroub for hours,9
we want daily vlogs,8
who loves allah,8
ego attitude honest hardwork,8
this man never fails to entertain us whos agree vote now,8
lets vote for ignoring prank on aroob for hrs,8
namaz is the permanent solution of every problem who is agree with me,8
he never fail to make us laugh,8
respect for muneeb,8
congratulations for million subscribers,8
who love allah,7
zabardast vlog,7
only ducky fan can feel the happiness of every vlog,7
namaz is the permanent solution of all problems who agree with me,7
best leader hazrat muhammad saw best lyrics azaan best guide quraan best request dua,7
alhamdulillah proud to be muslim,7
quran is the best of all books,7
we are proud to be muslim,7
link httpsbitlyducky promo code ducky,7
so lovely,7
proud to be muslim alhamdulillah,7
who is proud to be a part of ummat e muslima,7
million done first of all many congratulations now your all fans are waiting for the full face shave,7
ramzan mubarak to all muslims,7
we love you ducky bhai,7
ramadan mubarak to all muslims,7
namaz is the key of success,7
this man never disappoints us,6
lets vote for smoking prank on aroob,6
proud to be a muslims,6
who is proud to be the part of ummat e muhammad saw,6
i proud to be muslim,6
who is proud to be part of ummat muhammad saw,6
advance congratulations for million,6
day is incomplete without your vlog,6
who is proud to be the ummat of muhammad saw,6
lets vote for second marriage prank on aroob,6
my day is incomplete without your vlog,6
congratulations for m subscribers,6
proud to be pakistani,6
proud of muslim,6
love you ducky bhai,6
million is not a joke respect button for ducky bahi,6
proud to b muslim,6
legends in one frame,6
we are proud to be a part of ummet e muslima,6
proud to be hindu,6
old ducky bhai is back,6
lets vote for ignoring aroob for hrs,6
proud to b a muslim,6
who is proud to be ummat e muslima,6
attitude fake real master mind,6
lets vote for saying yes to ducky bhai for hours,6
ducky bhai never fails to make us laugh,6
ducky bhai never fail to laugh us,6
the day is incomplete without your vlog,6
lets vote for smoking prank with aroob,6
lets vote for saying yes to his mother for hours,6
ducklin is a perfect name,6
best hope allah best leader muhammad saw best lyrics azaan best request dua,5
who is proud to be a part of umat e muhammad saw,5
kis kis ko quran pasand ha,5
allah is great,5
advance congratulations for m,5
who is proud to be part muhammad,5
namaz is the permanent solution of all problems,5
lets vote for giving respect to muneeb,5
this man is literally born to make history,5
million is not a joke salute to this man,5
the day is incomplete without ducky bhai vlog,5
amazing,5
ducky never fails to entertain us,5
ducky bhai never fail to make us laugh,5
a day is incomplete without your vlog,5
ducky is literally born to entertain us,5
proud to be a muslim proud to be a pakistani proud to be part of ummah of hazrat muhammad saw,5
eid mubarak,5
thanks you for watching this long story with video enjoy,5
who is proud to be a part of ummat e muhammad pbuh,5
million is not a joke respect button for ducky bhai,5
who is proud to be part of ummatemuhammad saw,5
giving respect to muneeb for hours,5
i love quran,5
i am proud of muslim,5
the connection you built with your audience is so wholesome our days are incomplete without your vlogs so proud of you,5
vote for giving respect to muneeb,5
ramadan mubarak,4
vote for giving respect to muneeb for hrs,4
he is born to entertain us,4
billions of books but the best one is quran,4
so cute,4
this guy radiates so much positive energy that he has the tendency to uplift everyones mood,4
he never fail to entertain us,4
proud to be a muslim proud to be the ummati of the holy prophet muhammad saww proud to be pakistani,4
millions of book in the world but the best one is quraan subhan allah,4
i am proud to be a muslim who agree with me,4
proud to be a muslim alhumdulillah,4
thanks for watching me,4
who is proud to be a muslim and pakistani,4
lets vote for saying yes to your mama for hours,4
lets vote for ignore aroob for hours,4
who is proud to be ummate muhammad saw,4
congratulations million subscribers,4
lets vote for saying yes to mom for hours lets whos agree,4
who proud be a muslim,4
millon subscribers is not a joke respect button for ducky bahi,4
lets vote for aroob saying yes to ducky bhai for hours,4
ducky never disappoints us,4
eid mubarak to everyone,4
who feel proud to be musliumlove from india,4
one of the best about dude is that whenever he achieves something he never gives the credit himself he always respect us audiences that must and his team too he always polite in his all video we congratulate ourself for his achievement more to come and everything to comewre always with you,4
lets vote for saying yes to your mother happy for hours,4
no one can beat the level of your vlog,4
ducky never fails to make us laugh,4
we proud to be a muslim,4
saying yes to dad for hours,4
the day is incomplete without your vlog ducky bhai,4
how proud to be a muslim,4
lets vote for spending hours in fortuner,4
proud to be a muslim and pakistani,4
giving respect to muneeb,4
amazing volg,4
god has nothing,4
best vlog ever,4
my favorite couple,4
he is literally born to entertain us,4
respect button for babar azam,4
who is proud to be a part of muslim,4
who has proud to be a muslim,4
who is proud to be a part of prophet muhammad saw,4
who is proud to be ummati of muhammad saw pbuh,4
nothing better than making your parents proud,4
only ducky bhai fans lovers can feel this happines when he upload a vlog,4
who is proud to be a pakistani,4
mashallah so cute,4
proud be a muslim,4
he never fails to entertain us,4
the beauty of quran is that you cannot change its message but its message can change you,4
congratulations to ducky bhai and his family,4
beautiful vlog,4
who is proud to be ummat muslim,4
