clean_comments,label
bought meclay london thick dense shampoo amazing discounted price daraz httpsclickdarazpkeczyvb,1
proud muslim,1
proud muslim,1
proud muslim,1
proud muslim,1
proud ummat muslim,1
lets vote nd marriage prank aroob,0
proud muslim,1
namaz permanent solution problems agree,1
proud muslim,1
lets vote namaz times day ducky bhai kurta,1
proud muslim,1
whos proud muslim,1
proud true muslim heart,1
best leader hazrat muhammad saw best lyrics azaan best guide quraan best request dua,1
proud muslim alhamdulillah,1
proud part ummah e muhammad saw,1
proud muslim,1
whos proud muslim,1
proud muslim,1
proud muslim,1
proud muslim,1
ducky bhais mama innocent simple lady lots love,0
click link winwinpricecomwinutptsvsigq,1
namaz permanent solution problems agree,1
also proud muslim,1
proud muslim,1
proud ummati hazrat muhammad saw,1
proud muslims everyone,1
proud muslim,1
proud muslim,1
team proud muslim,1
ducky bhai fans feel happiness min vlog,0
proud muslim community,1
proud muslim,1
quran best book,1
lets vote saying yes muneeb hours,0
want ducky bhai grand meetup,0
proud muslim,1
lets vote saying yes father hrs,0
lets vote saying yes dad hours,0
missing old ducky edits,0
lets vote saying yes mama papa hours,0
lets vote ignoring aroob hours,1
proud muslim,1
vote say yes arrob hrs challenge,0
cute honest humble beautiful lovely sweet moom ducky bhai may allah give long life moom may allah keep family happy,0
lets vote saying yes aroob hours,0
love allah,0
proud part ummate muslima,1
remembers egg shami sandwich given muneeb duckys first vlog,0
proud muslim,1
aroob literally cuteand game much fun,0
see muslim praise god,1
ducky acting like indian sister laws may tum par ilzaam laga ga,0
need type home vlogs,0
lets vote ignoring aroob hours,1
ducky far best pakistan one better video,0
proud part ummet hazrat muhammad saw,1
proud muslim,1
lets vote ignoring aroob hours,1
ducky bhai starts adding new elements memes,0
quran best book work,1
quran best book,1
ducky bhai never fail make us laugh,0
lets vote lahore street food hours,0
way saad say mai jan dene k lie tyar hu isky lie aroob laugh shows beautiful bond,0
proud muslim,1
duckys moye moye another level,0
proud ummat saww,1
hours ignoring aroob,1
proud muslim,1
cute lovely mom mashaallah mashaallah may allah swa blessed healthy life,0
vote ignoring aroob hours,1
lets votes ignoring aroob hours,1
lets vote ignoring aroob hours,1
lets vote living hours sasural,0
proud part ummate muhammad saww,1
lets vote ignoring aroob hours,1
proud muslim,1
lets vote ignoring aroub hours,0
lets vote ignoring aroob hours,1
proud muslim,1
namaz permanent solution problems agree,1
vote shave tind,0
huge props set designers everything spot,0
proud muslim,1
lets vote ignoring aroob hours,1
best vlog month far,0
vote say yes arrob hrs challenge,0
big fan king babar azam,0
vote ignoring aroob hours,1
lets vote dont shave muslim,0
lets vote saying yes mama hrs,0
lets vote ignoring aroob hours,1
joke salute man respect button ducky bhai,0
proud muslim,1
lets vote ignoring aroob hours,1
vote shave tind subscribers,0
congratulations subscribers sistrology,0
lets vote ignoring aroob hours,1
daki bhai challenge namaz ibadat zikar harsha haragri,1
lets vote ignoring aroob hours,1
feels proud part prophet muhammad saw,1
lets vote nd marriage prank aroob,0
lets vote ignoring aroob hours,1
proud ummat e muslim,1
lets vote nd marriage prank aroob,0
lets vote ignoring aroob hours,1
lets vote saying yes mother hours,0
proud muslim,1
im proud muslim alhamdulillah,1
lets vote ignoring aroob hour,1
lets vote ignoring aroob hrs,1
lets vote ignoring aroob hours,1
think keep car use big events occasions thats opinion really want ducky bhai enjoy dream car,0
lets wat ignore muniba hours attting muniba,0
lets vote ignoring aroob hours,1
lets vote ignoring aroob hour,1
lets vote ignoring aroob hours,1
vote ignoring aroob hours,1
lets vote ignoring aroob hours,1
lets vote aroob ignoring aroob hours challenge,1
proud part ummat e muhammad saw,1
lets vote tinder,0
proud muslim,1
lets vote ignoring aroob hours,1
say keep car use dont park longer periods time honest shame people cant tolerate someone else success hope wish family happy prosperous life ahead may succeed even life ameen,0
lets vote nd married prank aroob,0
connection built audience wholesome days incomplete without vlogs proud,1
lets vote nd marriage prank aroob,0
lets vote ignoring hours aroob,0
proud ummat muslim,1
lets vote ignoring aroob hours,1
lets vote showing us dakku dolly,0
sell people bad habit didnt accept progress also keep take care,0
lets vote ignoring aroob hours,1
namaz permanent solution problems,1
proud muslim,1
scratch probably caused stone person wants scratch never bend much scratch lower part easily upper part moreover jealous guy would probably scratch prominent part rather scratching bumper cost relatively less get fixed,0
lets vote ignoring aroob,1
lets vote ignoring aroob hours,1
man honestly good world imagine putting much effort fans,0
vote ignoring aroob hours,1
lets vote ignoring aroob hour,1
lets vote saying yes dad hours,0
lets vote ignoring aroob hours,1
lets vote ignore aroob hours plzz plzz,0
proud muslim allhumdulilah,1
huge props set designers everything spot,0
lets vote ignoring aroob jatoi hours please,1
lets vote ignoring aroob hours,1
vote ignoring prank wife,0
lets vote saying yes dad,0
would say keep car take want go short period time opinion think best days people dont like someone making progress,0
lets vote ignoring aroob hours please,1
lets vote saying yes father hours save tinder,0
person scratched car watching video,0
million joke respect ducki bhai,0
lets vote ignoring aroob hours,1
dont worry brothese scratches problem bumper made intentionaly anyonei bmw scratches often appear bumpersand bumpers made forthese due road bumps sometimes stonesif scratch bumper made intentionaly,0
dreams never sold keep audi ducky bhai please dont want sell,0
proud muslim,1
lets vote ignoring aroob hour,1
lets vote ignoring aroob hours,1
dont sad every car guy feel pain including strong need sell car someone scratched leave himher allah great horse power comes great newton meter responsibility,0
could never keep car pakistan managed far feat bravery,0
lets vote ignoring aroob hours,1
lets vote ignoring aroob hours please saad bhai,1
lets vote nd marriage prank aroob bhabhi,0
lets vote clean shave tinder challenge,0
lets vote saying yes family hours,0
ducky dont sell dream car may allah bless,0
lets vote nd marriage prank aroob please,0
dont worry ill get even better car inshallah,0
lets vote saying yes ducky bhai father,0
lets vote ignoring aroob hours,1
vote ignoring aroob hours,1
lets vote ignoring aroob hours plz,1
lets vote ignoring aroob hours,1
lets vote ignoring prank aroob hours,0
ducky bhai dont sell car scratched wish fulfilled plz dont sell car,0
ducky bhai bura nhi manna lekin saved money buy car dream car please keep followed dream got nice car,1
yes lets vote ignoring aroob h,1
plz prank aroob,0
proud muslim,1
proud muslim love,1
lest vote ignoring aroob hours,1
lets vote ignore aroob hour,0
lets vote saying yes father hours safe tinder,0
lets vote ignoring aroob hours mom famous,1
lets vote ignoring aroob hours,1
dont think intentional scratch unfortunately terrain pakistan debris flying might easily scratched car since low ground watching way drive surroundings might want consider replacing selling audi time get bigger house garage accomodate cars chef cook healthy food,0
lets vote saying yes father hrs,0
saying yes aroob days,0
dreams dreams someone achieve keeps,0
lets vote ignoring aroob hours,1
lets vote fake marriage prank aroob,0
audi e tron gt elegant car pakistan cant take frequently roads likely garage queens pristine condition little lineancy car value would greatly reduced careful,0
namaz permanent solution problems agree,1
lets vote nd marriage prank aroob,0
babar azam,0
always energy,0
proud muslim babar king,1
proud muslim likes,1
proud muslim,1
proud muslim,1
connection built audience wholesome days incomplete without vlogs proud,1
respect button king babar azam,0
proud muslim,1
king babar,0
proud muslim,1
proud muslim,1
proud muslim,1
proud muslim,1
im proud muslim,1
play ducky bhai vlog months babar azam,0
proud muslim,1
proud part ummat e muhammad saw,1
im proud muslim alhamdulillah,1
lets vote showing us dakku dolly,0
proud muslim community,1
comes babar azam,0
proud muslim,1
best leader muhammad saw best lyrics azaan best guide quran best request dua,1
babar azam,0
respect button babar azam,0
proud muslim,1
proud muslim,1
trending king babar,0
babar azam king lots love babar azam,0
thank babar azam wasting much time clowns,0
proud muslim,1
respect button babar azam,0
proud muslim,1
king babar,0
proud muslim,1
every youtuber get trend meeting king thats king babar million,0
proud muslim,1
proud muslim,1
king babar,0
proud muslims,1
lets vote saying yes mom hours,0
proud muslim,1
proud muslim proud ummati holy prophet muhammad saw proud pakistanu,1
thanks k family,0
proud muslim,1
proud muslim,1
fav cricketer babar azam,0
respect button king babar,0
first saw vlog king babur,0
respect button babar azam,0
fun meeting babar azam different,0
babur king brand one day viewing,0
proud muslim,1
lets vote drunk prank family hours,0
great person meet babar azam,0
sha allah legend vs legend,0
daki bhai challenge namaz ibadat zikar harsha haragri,1
captain baber azam,0
best part video babar fans,0
babar azam,0
masha allah wedding congratulations imam ul haq islamic brothers ashikaneerasool,1
king babar,0
ducky bhai born make history,0
respect button king babar,0
proud muslim alhamdulillah,1
lots love king babar azam,0
king yar,0
respect button babar azam,0
two kings one frame,0
two king one frame,0
lets vote ignoring prank aroob hrs,0
babar,0
proud muslim,1
respect button babar azam,0
like babar azam,0
best leader hazrat muhammad saw best lyrics azaan best guide quraan best request dua,1
mine two favorites one frame omg im much happy,0
nan,0
babar azam great personality hope back good form,0
love india,0
proud part ummat muhammad saw,1
mashaallah,0
proud muslim,1
fun fact everyone found channel randomly started watching regularly,0
proud part ummat e muhammad saw,1
king babar azaaaaaam respect button,0
day incomplete without vlog,0
king babar azam,0
came baber azam,0
proud muslim,1
watch video king babar azam,0
duki bhai mother big fan india muslim muslim babar azam favorite player,0
im babar azam,0
proud muslim,1
love india,0
two kings frame king cricket king youtube,0
vlog viral region king babar azam,0
babar azam respect button fans,0
man never fails entertain us lets whos agree vote,0
saying yes dad hours,0
connection built audience wholesome days incomplete without vlogs proud,1
proud muslim,1
man never disappoints us,0
proud muslim,1
proud muslim,1
proud muslim,1
r spreading positive vibes making us happy putting much efforts favourite videos absolutely love,0
proud muslim,1
proud muslim community,1
proud muslim,1
proud bee muslim,1
proud muslim,1
ducky bhai king humor videos always leave us stitches,0
proud muslim,1
latus vote daki bhai time pray,0
proud muslim,1
proud muslim,1
proud muslim,1
proud muslim,1
duky fans feel happiness every vlog,0
lets vote saying yes father mother hours,0
proud muslim,1
proud muslim,1
proud muslim,1
proud muslim,1
ducky fan feel happiness every volg,0
proud muslim,1
literally waited vlogs daily love coz shoot naturally scripted family cute real specially aroob favourite person,0
fun fact everyone found channel randomly started watching regularly,0
finally ducky bhai ready complete promise happy may allah bless,0
man really jolly cheers mood,0
lets vote showing us dakku dolly,0
ducky bhai fans feel happiness min vlog,0
upset watching duckys vlog literally upset love hogaya brother,0
proud muslim,1
ducky fan feel happiness every vlog,0
proud muslims,1
best hope allah best leader muhammad saww best lyrics azaan best guide quran,1
proud muslim,1
proud muslim,1
proud muslim,1
respect driver,0
welcome pakistan,0
proud muslim,1
proud muslim,1
proud muslim,1
proud part ummat e muhammad saw,1
proud muslim,1
lets vote saying yes saad mother hours,0
proud part ummat e muslima,1
proud muslim,1
ill miss cute driver words telling much time take saying yes,0
proud muslim,1
nice one congratulations,0
lets vote saying yes aroob new born,0
waiting duckys surprise us,0
broad taha muslim god great,1
vlogs heal,0
saying yes dad hours,0
saying yes dad hours,0
bholu good driver bholu also entertain us trip,0
welcome pakistan,0
hayee scene best couple stay happy blessed always,0
proud muslim,1
love allah,0
ducky bhai u knowledge literal meri aankhon mein mein aansu thy personal ghr ki problem ki waja se apka video saamny aagaya tou apki baaton se mere chehry chehry par smile aagai special eet,0
ducky never disappoint,0
saying yes father hours,0
amazing work may allah bless,0
waiting surprise,0
iam big fan vlogs mashallah may allah protect couple evil eyes ameen,0
welcome pakistan,0
proud ummat e musalman,1
namaz permanent solution problems agree,1
love much shahzada veer love jhelum punjab buzurgo still waiting garmi charge video,0
respect everyone involved seriously best piece ever seen youtube hate well love videos,0
happy million,0
proud muslim,1
proud muslim,1
ducky bhai earth human vlogs amazing pakistan zindabad,0
video ending good,0
proud muslim,1
beautiful vlogs,0
end gives us goosebumps,0
saying yes dad hours,0
saad bhai ur vlogs always amazing,0
brother really good person,0
lets vote ignoring aroob hours,1
congratulations subscribers,0
great sense humor,0
proud muslim,1
love duckys momshies sweet humble,0
ducky bhai youre almost lucky bhai mashallah,0
may allah bless family health protect evil eye,0
nice,0
proud muslim,1
lets vote saying yes aroob hours,0
nan,0
nice,0
hope fantastic day come,0
proud muslim,1
sadly trip came end fun watching driver also friendly matched energy,0
salute man never fails make us laugh,0
proud muslim,1
proud muslim,1
proud muslim community,1
proud muslim alhamdulillah,1
ducky bhai makes vlog also makes us laugh majority fan,0
proud muslim,1
proud muslim,1
proud muslim,1
proud muslim,1
going inside underground city quite risky ducky bhai dont risk life like thank entertaining us turkey vlogs,0
masha allah aroobs laughter lovely contagious brings automatic smile face,0
proud muslim,1
proud muslim,1
proud muslim,1
vlogs make depressed person smile,0
proud muslim,1
nyc proud muslim,1
proud muslim,1
every video trip worth watching never turkey logon ki videos aur pics mejn dekha jin mein ya beaches thay ya historical sites trip introduced many new places,0
ducky bhai name emotions many hearts,0
ducky bhai hilarious mastermind behind funniest videos internet get ready laugh till stomach hurts,0
driver miss angle angle,0
million joke salute man,0
proud muslim,1
gulo driver cute,0
proud muslim,1
proud ummat e rasool,1
man incomplete without wife,0
respect button driver,0
therapy expensive watch videos,0
today feeling sad depressed day something watching video im feeling better mood improved significantly keep making videos love,0
proud muslim,1
funny would turns driver understood urdu understood ducky bhai said kamala ho jai ga yar,0
joke salute man,0
missed old ducky bhai,0
vlog lot fun really vlog makes day,0
mood refresher vlogs ducky,0
proud muslim,1
vas funniest part antire video saad bhai,0
respect button drive brother,0
love allah rasool sw,1
saad bhai makes vlog also makes us laugh love bhai,0
misses old ducky bhai,0
proud muslim,1
amazing vlog love gojra pakistan last scene funny,0
need ducky back gaming channel,0
mashaallah,0
respect driver,0
proud part ummat e muhammad saw,1
proud muslim,1
subscribers joke respect button ducky bhai,0
way duckey respect driver,0
ducky bhai pregnant never fail deliver us vlog,0
vote canada trip,0
proud muslim,1
love ducky bahi every way either old new,0
missing old roasting ducky bhai,0
vlog funny khanz world hes one youtubers funny natural,0
mashaallah,0
proud muslim,1
lets vote ignoring aroob hours,1
aroob laughing good,0
imagine ducky bai got know said underground city,0
literally laughing end,0
turkey things temporary driver permanent,0
miss old ducky bhai,0
masallah keep smiling forever ameen allah bless family ameen sumameen,0
really missed golu brother,0
assalamualaikum warahmatullahi wabarakatuh fajr increases beauty zuhr increase income asr improve health,1
dont go year miss van wala bhai beautiful places,0
rub cute cute,0
proud muslim,1
love ducky bhai make millions smile love ducky bhai,0
comparison ancient modern era,0
love much shazada veer love jhelum punjab buzurgo,0
aroob looking soooo gorgeous laughing,0
honor meet,0
proud muslim,1
im proud muslim alhamdulillah,1
proud muslim,1
im proud muslim,1
aroob changed lot equally funny complement ducky perfectly well done,0
proud muslim,1
proud muslim,1
proud muslim,1
proud muslim,1
proud muslim,1
proud muslim,1
proud muslim,1
proud muslim alhamdulillah,1
proud muslim,1
lets vote h prank wife,0
proud muslim,1
proud muslim,1
proud muslim,1
proud muslim,1
proud muslim,1
proud part ummat e muhammad saw,1
proud muslim,1
day incomplete without vlogs,0
ducky legend celebrate million said thanks bs,0
proud muslim,1
lets vote saying yes father hours,0
proud part ummat e muhammad saw,1
respect button man,0
best moment cute,0
proud muslim,1
proud muslim,1
proud muslim,1
nolan looked done challenge,0
namaz permanent solution problems agree,1
proud b muslim,1
namaz permanent solution problems,1
proud muslim,1
lets vote saying yes ducky aroob,0
vote saying duckys american tour really excited,0
proud muslim,1
proud muslim,1
vote ignoring challenge aroob turkey,0
proud muslim,1
proud muslim,1
proud muslim,1
vote smoking prank wife turkey,0
lets vote saying yes father hours,0
proud muslim,1
vote saying yes driver hrs,0
asslamoalikum day incomplete without vlog,0
proud muslim,1
proud muslim,1
love bro make us laugh may allah bless always,0
million joke one like brave man,0
proud muslim,1
proud ummati,1
congratulations big success love sir g,0
lets vote ignoring aroob hours,1
mashaallah,0
proud muslim,1
fav part cute yawara two obese,0
love post showed post family also loved postwe bought projector showed post whole neighborhood also loved post lives changed post grateful postthank much post,0
proud muslim,1
mashallah stay always one unit happy,0
extreme respect ducky bhai,0
proud muslim,1
progress bee sanatani,0
vote saying yes aroob turkey,0
