clean_comments,label
i bought meclay london thick dense shampoo at amazing discounted price from daraz httpsclickdarazpkeczyvb,1
who is proud to be muslim,1
proud to be a muslim,1
proud to be a muslim,1
who is proud to be a muslim,1
who is proud to be ummat muslim,1
lets vote for nd marriage prank with aroob,0
who is proud to be a muslim,1
namaz is the permanent solution of all problems who agree with me,1
proud to be a muslim,1
lets vote for namaz times a day ducky bhai with kurta,1
proud to be a muslim,1
whos proud to be muslim,1
who is proud to be true muslim from their heart,1
best leader hazrat muhammad saw best lyrics azaan best guide quraan best request dua,1
proud to be a muslim alhamdulillah,1
who is proud to be a part of ummah e muhammad saw,1
proud to be muslim,1
whos proud to be muslim,1
who is proud to be a muslim,1
who is proud to be a muslim,1
proud to be muslim,1
ducky bhais mama is very innocent and simple lady lots of love for her,0
click on the link to winwinpricecomwinutptsvsigq,1
namaz is a permanent solution for all problems who agree,1
we also proud to be a muslim,1
proud to be muslim,1
proud to be the ummati of hazrat muhammad saw,1
proud be muslims everyone,1
be proud to be a muslim,1
proud to be a muslim,1
team who is proud to be muslim,1
only ducky bhai fans can feel the happiness of min vlog,0
proud to be a muslim community,1
proud to be a muslim,1
the quran is the best book,1
lets vote for saying yes to muneeb for hours,0
we want ducky bhai grand meetup,0
proud to be a muslim,1
lets vote for saying yes to father for hrs,0
lets vote for saying yes to dad for hours,0
missing old ducky his edits,0
lets vote for saying yes to mama papa for hours,0
lets vote for ignoring aroob for hours,1
proud to be muslim,1
vote for say yes to arrob for hrs challenge,0
so cute honest humble beautiful lovely and sweet moom of ducky bhai may allah give long life to his moom may allah keep their family happy,0
lets vote for saying yes to aroob for hours,0
i love allah,0
who is proud to be a part of ummate muslima,1
who remembers this egg shami sandwich was given to muneeb on duckys first vlog,0
who i proud to be muslim,1
aroob is literally cuteand that game was so much fun,0
and see muslim praise be to god,1
ducky acting like indian sister in laws may tum par ilzaam laga don ga,0
we need this type of home vlogs,0
lets vote for ignoring aroob for hours,1
ducky is by far the best in pakistan no one does a better video than him,0
who is proud to be part of ummet hazrat muhammad saw,1
i proud to be a muslim,1
lets vote for ignoring aroob for hours,1
ducky bhai starts adding new elements of memes,0
quran is the best book of all work,1
quran is the best book,1
ducky bhai never fail to make us laugh,0
lets vote for lahore street food for hours,0
the way saad say mai jan dene k lie tyar hu isky lie and aroob laugh shows the beautiful bond between them,0
proud to be muslim,1
duckys moye moye is on another level,0
who will proud to a ummat saww,1
hours ignoring aroob,1
who is proud to be muslim,1
how cute and lovely your mom mashaallah mashaallah may allah swa blessed her with healthy life,0
vote for ignoring aroob for hours,1
